Month,water,carbon,energy,climate,emissions
2021-09-01,61.45,8.99,21.74,6.3,4.49
2021-10-01,60.87,8.26,19.42,5.51,4.49
2021-11-01,69.93,9.2,21.74,6.38,4.49
2021-12-01,72.9,9.78,24.71,6.59,4.49
2022-01-01,79.57,9.49,25.14,11.81,4.49
2022-02-01,82.1,9.49,25.14,12.25,4.49
2022-03-01,84.35,8.48,22.32,6.96,4.49
2022-04-01,91.67,8.12,20.36,6.38,4.49
2022-05-01,84.35,8.12,22.46,6.38,4.49
2022-06-01,73.62,9.86,24.49,7.17,4.49
2022-07-01,72.03,10.0,24.57,7.25,4.49
2022-08-01,68.7,10.0,22.9,7.17,4.49
2022-09-01,74.49,9.78,23.12,6.59,4.49
2022-10-01,77.97,9.35,24.35,7.25,4.49
2022-11-01,80.43,9.64,25.65,7.25,4.49
2022-12-01,82.39,9.06,25.07,9.42,4.49
2023-01-01,81.09,9.13,23.48,8.48,4.49
2023-02-01,87.1,8.33,21.45,6.52,4.49
2023-03-01,92.97,8.12,20.22,6.38,4.49
2023-04-01,83.33,8.19,21.09,6.38,4.49
2023-05-01,77.9,9.93,23.77,7.25,4.49
2023-06-01,73.91,10.0,24.57,7.25,4.49
2023-07-01,70.58,9.78,23.04,7.03,4.49
2023-08-01,71.52,9.42,22.03,6.59,4.49
2023-09-01,77.17,10.36,24.57,7.25,4.49
2023-10-01,79.2,10.36,25.14,7.25,4.49
2023-11-01,81.09,10.0,25.29,12.75,4.49
2023-12-01,86.45,9.35,23.48,9.86,4.49
2024-01-01,94.35,8.33,20.51,6.59,4.49
2024-02-01,88.41,8.12,20.14,5.51,4.49
2024-03-01,81.3,8.26,21.45,6.38,4.49
2024-04-01,75.22,10.0,25.72,7.32,4.49
2024-05-01,74.49,10.0,25.65,7.9,4.49
2024-06-01,71.81,10.0,22.54,6.88,4.49
2024-07-01,71.81,10.0,22.54,6.88,5.85
2024-08-01,71.81,10.0,22.54,6.88,7.2
2024-09-01,71.81,10.0,22.54,6.88,8.55
2024-10-01,71.81,10.0,22.54,6.88,9.9
2024-11-01,71.81,10.0,22.54,6.88,11.26
2024-12-01,71.81,10.0,22.54,6.88,12.61
